RAMO,ID_UR,EJERCICIO,TRIMESTRE,INSTITUCION,AUDITORÍAS_REALIZADAS,OBSERVACIONES_DETERMINADAS
47,HHG,2007,20070101/20070331,INSTITUTO NACIONAL DE LAS MUJERES,1,3
47,HHG,2007,20071001/20071231,INSTITUTO NACIONAL DE LAS MUJERES,1,3
47,HHG,2007,20070401/20070630,INSTITUTO NACIONAL DE LAS MUJERES,3,7
47,HHG,2007,20070701/20070930,INSTITUTO NACIONAL DE LAS MUJERES,1,1
48,0,2007,20070101/20070331,SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,29,134
48,0,2007,20071001/20071231,SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,20,54
48,0,2007,20070401/20070630,SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,29,124
48,0,2007,20070701/20070930,SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,23,90
2,0,2008,20080701/20080930,PRESIDENCIA DE LA REPÚBLICA,3,6
2,0,2008,20080101/20080331,PRESIDENCIA DE LA REPÚBLICA,2,3
2,0,2008,20080401/20080630,PRESIDENCIA DE LA REPÚBLICA,2,6
2,0,2008,20081001/20081231,PRESIDENCIA DE LA REPÚBLICA,3,10
4,D00,2008,20080101/20080331,PREVENCION Y READAPTACION SOCIAL,1,1
4,D00,2008,20080701/20080930,PREVENCION Y READAPTACION SOCIAL,1,4
4,D00,2008,20081001/20081231,PREVENCION Y READAPTACION SOCIAL,2,2
4,I00,2008,20080101/20080331,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",2,1
4,I00,2008,20080101/20080331,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,3
4,I00,2008,20080701/20080930,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,4
4,I00,2008,20080701/20080930,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",1,4
4,I00,2008,20080701/20080930,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,7,16
4,I00,2008,20080701/20080930,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",2,0
4,I00,2008,20080701/20080930,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,3,2
4,I00,2008,20080701/20080930,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",3,4
4,I00,2008,20080701/20080930,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,1,0
4,I00,2008,20080701/20080930,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,4,1
4,I00,2008,20080701/20080930,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",2,0
4,I00,2008,20080701/20080930,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,2,6
4,I00,2008,20080701/20080930,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,5
4,I00,2008,20081001/20081231,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,1,3
4,I00,2008,20081001/20081231,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,7
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",1,1
4,I00,2008,20081001/20081231,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,3,2
4,I00,2008,20080101/20080331,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",3,2
4,I00,2008,20080101/20080331,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,1,3
4,I00,2008,20080101/20080331,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,1,1
4,I00,2008,20080101/20080331,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,2,12
4,I00,2008,20080101/20080331,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",1,3
4,I00,2008,20080101/20080331,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",1,4
4,I00,2008,20080101/20080331,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",1,1
4,I00,2008,20080401/20080630,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,2,2
4,I00,2008,20080401/20080630,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,1,5
4,I00,2008,20080401/20080630,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,12
4,I00,2008,20080401/20080630,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",2,0
4,I00,2008,20080401/20080630,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",1,0
4,I00,2008,20080401/20080630,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,3,7
4,I00,2008,20080401/20080630,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,4,21
4,I00,2008,20080401/20080630,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",2,0
4,I00,2008,20080401/20080630,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",5,4
4,I00,2008,20080401/20080630,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,13
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",1,3
4,I00,2008,20081001/20081231,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,4,4
4,I00,2008,20081001/20081231,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,3,7
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",1,0
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",3,3
4,I00,2008,20081001/20081231,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,3,0
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,3
4,I00,2008,20081001/20081231,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",3,2
4,K00,2008,20080701/20080930,INSTITUTO NACIONAL DE MIGRACIÓN,1,15
4,K00,2008,20081001/20081231,INSTITUTO NACIONAL DE MIGRACIÓN,2,7
4,K00,2008,20080101/20080331,INSTITUTO NACIONAL DE MIGRACIÓN,2,8
4,K00,2008,20080401/20080630,INSTITUTO NACIONAL DE MIGRACIÓN,2,14
4,L00,2008,20080701/20080930,POLICÍA FEDERAL,10,7
4,L00,2008,20080101/20080331,POLICÍA FEDERAL,10,19
4,L00,2008,20080401/20080630,POLICÍA FEDERAL,10,20
4,L00,2008,20081001/20081231,POLICÍA FEDERAL,8,25
6,B00,2008,20081001/20081231,COMISIÓN NACIONAL BANCARIA Y DE VALORES,4,5
6,B00,2008,20080101/20080331,COMISIÓN NACIONAL BANCARIA Y DE VALORES,2,3
6,B00,2008,20080401/20080630,COMISIÓN NACIONAL BANCARIA Y DE VALORES,4,19
6,B00,2008,20080701/20080930,COMISIÓN NACIONAL BANCARIA Y DE VALORES,4,21
6,G0N,2008,20080101/20080331,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",1,2
6,G0N,2008,20080701/20080930,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",1,2
6,G0N,2008,20080701/20080930,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",6,13
6,G0N,2008,20081001/20081231,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",2,0
6,G0N,2008,20080101/20080331,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,1,0
6,G0N,2008,20080401/20080630,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",2,2
6,G0N,2008,20080401/20080630,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,1,10
6,G0N,2008,20080401/20080630,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",7,28
6,G0N,2008,20080701/20080930,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,1,1
6,G0N,2008,20081001/20081231,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,1,2
6,G0N,2008,20081001/20081231,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",5,5
6,G1C,2008,20080701/20080930,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",6,20
6,G1C,2008,20081001/20081231,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",6,19
6,G1C,2008,20080101/20080331,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",4,16
6,G1C,2008,20080401/20080630,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",5,24
6,G1H,2008,20080101/20080331,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",7,3
6,G1H,2008,20080701/20080930,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",7,4
6,G1H,2008,20081001/20081231,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",11,3
6,G1H,2008,20080401/20080630,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",8,1
6,G2T,2008,20081001/20081231,CASA DE MONEDA DE MÉXICO,3,1
6,G2T,2008,20080101/20080331,CASA DE MONEDA DE MÉXICO,4,7
6,G2T,2008,20080401/20080630,CASA DE MONEDA DE MÉXICO,4,8
6,G2T,2008,20080701/20080930,CASA DE MONEDA DE MÉXICO,4,5
6,G3A,2008,20080701/20080930,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,4,24
6,G3A,2008,20080101/20080331,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,3,13
6,G3A,2008,20080401/20080630,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,3,19
6,G3A,2008,20081001/20081231,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,3,20
6,GSA,2008,20080701/20080930,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,1,4
6,GSA,2008,20081001/20081231,"AGROASEMEX, S.A.",1,0
6,GSA,2008,20080101/20080331,"AGROASEMEX, S.A.",2,0
6,GSA,2008,20080401/20080630,"AGROASEMEX, S.A.",3,4
6,GSA,2008,20080401/20080630,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,4,16
6,GSA,2008,20080701/20080930,"AGROASEMEX, S.A.",4,1
6,GSA,2008,20081001/20081231,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,5,17
6,HAN,2008,20080101/20080331,"FINANCIERA NACIONAL DE DESARROLLO AGROPECUARIO, RURAL, FORESTAL Y PESQUERO",3,7
6,HAN,2008,20080401/20080630,"FINANCIERA NACIONAL DE DESARROLLO AGROPECUARIO, RURAL, FORESTAL Y PESQUERO",4,14
6,HAN,2008,20080701/20080930,"FINANCIERA NACIONAL DE DESARROLLO AGROPECUARIO, RURAL, FORESTAL Y PESQUERO",4,11
6,HAN,2008,20081001/20081231,"FINANCIERA NACIONAL DE DESARROLLO AGROPECUARIO, RURAL, FORESTAL Y PESQUERO",2,4
6,HBW,2008,20080101/20080331,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",4,28
6,HBW,2008,20080401/20080630,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",5,33
6,HBW,2008,20080701/20080930,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",4,9
6,HBW,2008,20081001/20081231,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",3,28
6,HHN,2008,20080101/20080331,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,3,9
6,HHN,2008,20080701/20080930,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,1,5
6,HHN,2008,20081001/20081231,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,4,8
6,HHN,2008,20080401/20080630,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,2,2
6,HHQ,2008,20080101/20080331,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,1,5
6,HHQ,2008,20080701/20080930,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,2,3
6,HHQ,2008,20080701/20080930,LUZ Y FUERZA DEL CENTRO en Liquidación,21,58
6,HHQ,2008,20080401/20080630,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,3,9
6,HHQ,2008,20080401/20080630,LUZ Y FUERZA DEL CENTRO en Liquidación,11,28
6,HHQ,2008,20081001/20081231,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,3,12
6,HHQ,2008,20081001/20081231,LUZ Y FUERZA DEL CENTRO en Liquidación,16,32
6,HIU,2008,20080101/20080331,"NACIONAL FINANCIERA, S.N.C.",6,34
6,HIU,2008,20080701/20080930,"NACIONAL FINANCIERA, S.N.C.",3,17
6,HIU,2008,20080401/20080630,"NACIONAL FINANCIERA, S.N.C.",5,20
6,HIU,2008,20081001/20081231,"NACIONAL FINANCIERA, S.N.C.",6,43
6,HJO,2008,20080701/20080930,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",5,22
6,HJO,2008,20080101/20080331,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",5,19
6,HJO,2008,20080401/20080630,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",5,34
6,HJO,2008,20081001/20081231,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",6,10
6,HJY,2008,20080701/20080930,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,3,10
6,HJY,2008,20080101/20080331,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,2,2
6,HJY,2008,20080401/20080630,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,3,13
6,HJY,2008,20081001/20081231,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,2,2
7,HXA,2008,20080101/20080331,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,2,5
7,HXA,2008,20080701/20080930,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,2,2
7,HXA,2008,20081001/20081231,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,2,6
7,HXA,2008,20080401/20080630,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,2,6
8,0,2008,20080701/20080930,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",7,33
8,0,2008,20080101/20080331,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",5,27
8,0,2008,20080401/20080630,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",6,32
8,0,2008,20081001/20081231,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",6,32
8,I6L,2008,20080101/20080331,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,1,1
8,I6L,2008,20080101/20080331,FIDEICOMISO DE RIESGO COMPARTIDO,2,1
8,I6L,2008,20080701/20080930,FIDEICOMISO DE RIESGO COMPARTIDO,2,3
8,I6L,2008,20080701/20080930,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,2,2
8,I6L,2008,20080401/20080630,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,1,4
8,I6L,2008,20080401/20080630,FIDEICOMISO DE RIESGO COMPARTIDO,2,4
8,I6L,2008,20081001/20081231,FIDEICOMISO DE RIESGO COMPARTIDO,3,3
8,I9H,2008,20080701/20080930,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,2,3
8,I9H,2008,20081001/20081231,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,3,8
8,IZC,2008,20080701/20080930,COLEGIO DE POSTGRADUADOS,1,4
8,IZC,2008,20081001/20081231,COLEGIO DE POSTGRADUADOS,1,18
8,IZC,2008,20080101/20080331,COLEGIO DE POSTGRADUADOS,2,8
8,IZC,2008,20080401/20080630,COLEGIO DE POSTGRADUADOS,1,2
8,JBK,2008,20080701/20080930,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,2,3
8,JBK,2008,20081001/20081231,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,1,1
8,JBK,2008,20080101/20080331,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,1,2
8,JBK,2008,20080401/20080630,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,1,0
8,l6U,2008,20080101/20080331,SERVICIO GEOLÓGICO MEXICANO,1,0
8,l6U,2008,20080101/20080331,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,2,9
8,l6U,2008,20080101/20080331,SECRETARÍA DE GOBERNACIÓN,5,9
8,l6U,2008,20080101/20080331,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,8,25
8,l6U,2008,20080101/20080331,SERVICIOS A LA NAVEGACIÓN EN EL ESPACIO AÉREO MEXICANO,2,2
8,l6U,2008,20080701/20080930,SUPERISSSTE,8,8
8,l6U,2008,20080701/20080930,SECRETARÍA DE SALUD,13,38
8,l6U,2008,20080701/20080930,SERVICIO POSTAL MEXICANO,3,26
8,l6U,2008,20080701/20080930,SECRETARÍA DE TURISMO,1,10
8,l6U,2008,20080701/20080930,"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",3,8
8,l6U,2008,20080701/20080930,SECRETARÍA DE RELACIONES EXTERIORES,3,12
8,l6U,2008,20080701/20080930,TELECOMUNICACIONES DE MÉXICO,5,37
8,l6U,2008,20080701/20080930,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA,2,14
8,l6U,2008,20080701/20080930,SERVICIOS A LA NAVEGACIÓN EN EL ESPACIO AÉREO MEXICANO,3,2
8,l6U,2008,20080701/20080930,UNIVERSIDAD PEDAGÓGICA NACIONAL,1,4
8,l6U,2008,20080701/20080930,SECRETARÍA DE EDUCACIÓN PÚBLICA,2,11
8,l6U,2008,20080701/20080930,"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",1,0
8,l6U,2008,20080701/20080930,SECRETARÍA DE LA DEFENSA NACIONAL,7,0
8,l6U,2008,20080701/20080930,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,9,36
8,l6U,2008,20080701/20080930,SECRETARÍA DE ECONOMÍA,7,14
8,l6U,2008,20080701/20080930,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",2,15
8,l6U,2008,20080701/20080930,SECRETARÍA DE ENERGÍA,2,11
8,l6U,2008,20080701/20080930,TALLERES GRÁFICOS DE MÉXICO,2,4
8,l6U,2008,20080701/20080930,SERVICIO GEOLÓGICO MEXICANO,3,7
8,l6U,2008,20080701/20080930,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,9,34
8,l6U,2008,20080701/20080930,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,5,28
8,l6U,2008,20080701/20080930,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,6,15
8,l6U,2008,20080701/20080930,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,15,45
8,l6U,2008,20080701/20080930,SECRETARÍA DE MARINA,4,0
8,l6U,2008,20080701/20080930,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA",4,16
8,l6U,2008,20081001/20081231,SECRETARÍA DE RELACIONES EXTERIORES,3,14
8,l6U,2008,20081001/20081231,SECRETARÍA DE LA DEFENSA NACIONAL,4,0
8,l6U,2008,20081001/20081231,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",6,45
8,l6U,2008,20081001/20081231,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",2,19
8,l6U,2008,20081001/20081231,SECRETARÍA DE LA FUNCIÓN PÚBLICA,14,59
8,l6U,2008,20081001/20081231,SECRETARÍA DE SALUD,11,22
8,l6U,2008,20081001/20081231,SUPERISSSTE,7,3
8,l6U,2008,20081001/20081231,UNIVERSIDAD PEDAGÓGICA NACIONAL,2,7
8,l6U,2008,20081001/20081231,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,3,10
8,l6U,2008,20081001/20081231,SERVICIO GEOLÓGICO MEXICANO,2,2
8,l6U,2008,20080101/20080331,"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",1,0
8,l6U,2008,20080101/20080331,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA",1,4
8,l6U,2008,20080101/20080331,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,6,41
8,l6U,2008,20080101/20080331,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",2,15
8,l6U,2008,20080101/20080331,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,9,74
8,l6U,2008,20080101/20080331,SECRETARÍA DE SALUD,12,44
8,l6U,2008,20080101/20080331,SECRETARÍA DE ENERGÍA,3,10
8,l6U,2008,20080101/20080331,SECRETARÍA DE MARINA,5,0
8,l6U,2008,20080101/20080331,SECRETARÍA DE ECONOMÍA,5,6
8,l6U,2008,20080101/20080331,SECRETARÍA DE LA DEFENSA NACIONAL,5,0
8,l6U,2008,20080101/20080331,TELECOMUNICACIONES DE MÉXICO,4,26
8,l6U,2008,20080101/20080331,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,3,11
8,l6U,2008,20080101/20080331,SECRETARÍA DE LA FUNCIÓN PÚBLICA,8,44
8,l6U,2008,20080101/20080331,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,3,0
8,l6U,2008,20080101/20080331,SECRETARÍA DE TURISMO,1,13
8,l6U,2008,20080101/20080331,SECRETARÍA DE RELACIONES EXTERIORES,3,10
8,l6U,2008,20080101/20080331,SERVICIO POSTAL MEXICANO,2,17
8,l6U,2008,20080101/20080331,UNIVERSIDAD PEDAGÓGICA NACIONAL,1,5
8,l6U,2008,20080101/20080331,"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",1,2
8,l6U,2008,20080101/20080331,SECRETARÍA DE SEGURIDAD PÚBLICA,3,13
8,l6U,2008,20080101/20080331,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",2,20
8,l6U,2008,20080101/20080331,TALLERES GRÁFICOS DE MÉXICO,2,12
8,l6U,2008,20080101/20080331,SUPERISSSTE,10,0
8,l6U,2008,20080401/20080630,TALLERES GRÁFICOS DE MÉXICO,2,4
8,l6U,2008,20080401/20080630,SECRETARÍA DE ECONOMÍA,5,25
8,l6U,2008,20080401/20080630,UNIVERSIDAD PEDAGÓGICA NACIONAL,1,4
8,l6U,2008,20080401/20080630,"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",1,1
8,l6U,2008,20080401/20080630,SECRETARÍA DE SALUD,12,36
8,l6U,2008,20080401/20080630,SERVICIO GEOLÓGICO MEXICANO,3,6
8,l6U,2008,20080401/20080630,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",3,26
8,l6U,2008,20080401/20080630,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA,2,7
8,l6U,2008,20080401/20080630,SECRETARÍA DE GOBERNACIÓN,5,22
8,l6U,2008,20080401/20080630,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,6,48
8,l6U,2008,20080401/20080630,SERVICIOS A LA NAVEGACIÓN EN EL ESPACIO AÉREO MEXICANO,3,2
8,l6U,2008,20080401/20080630,SECRETARÍA DE EDUCACIÓN PÚBLICA,6,41
8,l6U,2008,20080401/20080630,SECRETARÍA DE LA FUNCIÓN PÚBLICA,6,33
8,l6U,2008,20080401/20080630,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,7,47
8,l6U,2008,20080401/20080630,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,8,50
8,l6U,2008,20080401/20080630,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,11,60
8,l6U,2008,20080401/20080630,SECRETARÍA DE LA DEFENSA NACIONAL,5,0
8,l6U,2008,20080401/20080630,SUPERISSSTE,7,8
8,l6U,2008,20080401/20080630,SERVICIO POSTAL MEXICANO,3,19
8,l6U,2008,20080401/20080630,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",2,14
8,l6U,2008,20080401/20080630,SECRETARÍA DE RELACIONES EXTERIORES,3,7
8,l6U,2008,20080401/20080630,SECRETARÍA DE MARINA,6,0
8,l6U,2008,20080401/20080630,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA",3,7
8,l6U,2008,20080401/20080630,SECRETARÍA DE SEGURIDAD PÚBLICA,4,7
8,l6U,2008,20080401/20080630,TELECOMUNICACIONES DE MÉXICO,4,39
8,l6U,2008,20080401/20080630,"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",5,7
8,l6U,2008,20080401/20080630,SECRETARÍA DE TURISMO,2,6
8,l6U,2008,20080401/20080630,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,12,31
8,l6U,2008,20080701/20080930,SECRETARÍA DE LA FUNCIÓN PÚBLICA,14,91
8,l6U,2008,20080701/20080930,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,3,9
8,l6U,2008,20080701/20080930,SECRETARÍA DE GOBERNACIÓN,5,28
8,l6U,2008,20080701/20080930,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",4,23
8,l6U,2008,20080701/20080930,SECRETARÍA DE SEGURIDAD PÚBLICA,3,7
8,l6U,2008,20081001/20081231,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,8,33
8,l6U,2008,20081001/20081231,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,14,38
8,l6U,2008,20081001/20081231,"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",5,14
